Ronda;Mesa;ID-B;ID-N;NoB;NoN;ResB;ResM;Incomparecencia
1;1;2200830;2242761;1;23;1;0; 
1;2;24516341;2254263;24;2;0;1; 
1;3;2214024;2264846;3;25;1;0; 
1;4;32009712;2212480;26;4;0,5;0,5; 
1;5;2207435;32072040;5;27;1;0; 
1;6;2265656;22242244;28;6;0;1; 
1;7;2217562;2278294;7;29;1;0; 
1;8;24516350;2225883;30;8;0;1; 
1;9;2255812;16205758;9;31;1;0; 
1;10;24539074;2212870;32;10;0;1; 
1;11;2201836;24536954;11;33;1;0; 
1;12;24543390;2278871;34;12;0;1; 
1;13;2214407;0;13;35;1;0; 
1;14;22254129;2269473;36;14;0;1; 
1;15;32044836;0;15;37;1;0; 
1;16;0;22200185;38;16;0;1; 
1;17;2276658;0;17;39;1;0; 
1;18;0;32020619;40;18;0;1; 
1;19;2226960;0;19;41;0;1; 
1;20;16205740;32050496;42;20;0;1; 
1;21;32074336;0;21;43;1;0; 
1;22;22292543;24540781;44;22;1;0; 
