Ronda;Mesa;ID-B;ID-N;NoB;NoN;ResB;ResM;Incomparecencia
3;1;2214024;2255812;3;9;1;0; 
3;2;2207435;2201836;5;11;1;0; 
3;3;2217562;32044836;7;15;1;0; 
3;4;32074336;2225883;21;8;0;1; 
3;5;2200830;2214407;1;13;1;0; 
3;6;32009712;2254263;26;2;0;1; 
3;7;22292543;2278871;44;12;0;1; 
3;8;24516341;2212480;24;4;1;0; 
3;9;32072040;22242244;27;6;0;1; 
3;10;2265656;2212870;28;10;0;1; 
3;11;2278294;2269473;29;14;0;1; 
3;12;24516350;22200185;30;16;0;1; 
3;13;2276658;24536954;17;33;1;0; 
3;14;24543390;32020619;34;18;0;1; 
3;15;0;32050496;41;20;0;1; 
3;16;16205740;2264846;42;25;0;1; 
3;17;24539074;16205758;32;31;1;0; 
3;18;22254129;0;36;43;1;0; 
3;19;2226960;0;19;35;1;0; 
3;20;0;24540781;37;22;0;1; 
3;21;0;2242761;38;23;0;1; 
3;22;0;0;39;-1;1;1; 
