Ronda;Mesa;ID-B;ID-N;NoB;NoN;ResB;ResM;Incomparecencia
2;1;2278871;2200830;12;1;0,5;0,5; 
2;2;2254263;2214407;2;13;0,5;0,5; 
2;3;2269473;2214024;14;3;0;1; 
2;4;22200185;2207435;16;5;0;1; 
2;5;22242244;32044836;6;15;0;1; 
2;6;32020619;2217562;18;7;0;1; 
2;7;2225883;2276658;8;17;1;0; 
2;8;32050496;2255812;20;9;0;1; 
2;9;2212870;32074336;10;21;0;1; 
2;10;0;2201836;41;11;0;1; 
2;11;2212480;22292543;4;44;0,5;0,5; 
2;12;24540781;32009712;22;26;0;1; 
2;13;24536954;2226960;33;19;1;0; 
2;14;2242761;24543390;23;34;0;1; 
2;15;0;24516341;35;24;0;1; 
2;16;2264846;22254129;25;36;0,5;0,5; 
2;17;32072040;0;27;38;1;0; 
2;18;0;2265656;37;28;0;1; 
2;19;2278294;0;29;40;1;0;F
2;20;0;24516350;39;30;0;1; 
2;21;16205758;16205740;31;42;0,5;0,5; 
2;22;0;24539074;43;32;0,5;0,5; 
