Ronda;Mesa;ID-B;ID-N;NoB;NoN;ResB;ResM;Incomparecencia
4;1;2217562;2214024;7;3;0,5;0,5; 
4;2;2225883;2207435;8;5;1;0; 
4;3;2254263;2200830;2;1;0;1; 
4;4;2278871;22242244;12;6;0;1; 
4;5;2255812;22200185;9;16;1;0; 
4;6;2212870;2276658;10;17;1;0; 
4;7;2201836;32020619;11;18;0;1; 
4;8;2269473;32074336;14;21;1;0; 
4;9;32044836;24516341;15;24;1;0; 
4;10;32050496;32009712;20;26;0;1; 
4;11;2214407;24539074;13;32;1;0; 
4;12;2264846;22292543;25;44;0;1; 
4;13;2226960;22254129;19;36;1;0; 
4;14;2212480;2278294;4;29;1;0; 
4;15;24540781;24516350;22;30;0;1; 
4;16;2242761;0;23;39;1;0; 
4;17;24536954;32072040;33;27;0,5;0,5; 
4;18;24543390;2265656;34;28;0;1; 
4;19;16205758;0;31;41;0,5;0,5; 
4;20;0;16205740;43;42;0;1; 
4;21;0;0;35;37;1;0; 
4;22;0;0;38;-1;1;1; 
