Ronda;Mesa;ID-B;ID-N;NoB;NoN;ResB;ResM;Incomparecencia
1;1;650242;618438;82;1;0;1; 
1;2;3800024;2256720;2;83;1;0; 
1;3;617083;14113171;84;3;0;1; 
1;4;3901211;2221411;4;85;1;0; 
1;5;2214407;14114470;86;5;0;1; 
1;6;3503054;200450;6;87;1;0; 
1;7;3903346;616915;89;7;0;1; 
1;8;662399;1801171;8;90;1;0; 
1;9;22244026;642274;91;9;0;1; 
1;10;2205092;6900330;10;92;1;0; 
1;11;2279045;2800802;94;11;0;1; 
1;12;2201500;20682794;12;95;1;0; 
1;13;32018568;611190;96;13;1;0; 
1;14;2260735;613681;14;97;1;0; 
1;15;2211068;2260409;98;15;0;1; 
1;16;3900410;13504606;16;99;1;0; 
1;17;32041764;4103416;100;17;0;1; 
1;18;663727;32065752;18;101;1;0; 
1;19;20643039;614890;102;19;0;1; 
1;20;2200236;22245383;20;103;1;0; 
1;21;636037;2259532;104;21;0;1; 
1;22;665274;693022;22;105;1;0; 
1;23;975362;2204100;106;23;0;1; 
1;24;608688;2258030;24;107;1;0; 
1;25;616257;6400019;108;25;1;0;F
1;26;602469;2269937;26;109;1;0; 
1;27;2222116;2801639;110;27;0;1; 
1;28;22247017;32082681;28;111;1;0; 
1;29;620297;654213;81;29;0;1; 
1;30;22235256;2267446;30;113;1;0; 
1;31;635278;2262436;114;31;0;1; 
1;32;639370;26042380;32;115;1;0; 
1;33;2252236;2257459;116;33;0;1; 
1;34;634751;2299909;34;117;1;0;F
1;35;20619898;3801110;118;35;0;1; 
1;36;722855;2269279;36;119;1;0; 
1;37;36020664;2215268;120;37;0;1; 
1;38;634581;32041101;38;121;1;0; 
1;39;36064840;600989;122;39;0;1; 
1;40;2200678;32041721;40;123;1;0; 
1;41;6900011;2202107;124;41;0;1; 
1;42;601845;22286489;42;125;1;0; 
1;43;603007;2219409;126;43;0;1; 
1;44;2246678;6900429;44;127;1;0; 
1;45;2264358;2212676;128;45;0;1; 
1;46;2238276;6900526;46;129;1;0; 
1;47;635863;2206331;131;47;0;1; 
1;48;2205580;6900100;48;133;1;0; 
1;49;22234136;2256088;134;49;0;1; 
1;50;2224500;26042800;50;135;1;0; 
1;51;20668821;2616840;136;51;0;1; 
1;52;2246848;20668813;52;137;1;0; 
1;53;650714;624624;138;53;0;1; 
1;54;6900020;2219930;54;139;1;0; 
1;55;36051209;6900348;140;55;0;1; 
1;56;605778;22225170;56;141;1;0; 
1;57;6900283;22245707;142;57;0;1; 
1;58;22245391;20608756;58;143;1;0; 
1;59;6900720;32075359;144;59;0;1;F
1;60;2213133;20609159;61;145;1;0; 
1;61;6900364;673609;146;62;0;1; 
1;62;2263980;664847;63;147;1;0; 
1;63;26061597;619523;148;64;0;1; 
1;64;36000426;604380;65;149;1;0; 
1;65;664413;633720;150;66;0;1; 
1;66;628816;606057;67;151;1;0; 
1;67;32092334;2138298;152;68;0;1; 
1;68;2816776;6900780;69;154;1;0; 
1;69;24532495;20661347;155;70;0;1; 
1;70;2220270;6900763;71;156;1;0; 
1;71;6900798;624357;157;72;0;1; 
1;72;622079;6901069;73;158;1;0; 
1;73;6901018;2219476;159;74;0;1; 
1;74;4643747;24519707;75;160;1;0; 
1;75;24562602;2201577;161;76;0;1; 
1;76;2273829;24544060;77;162;1;0; 
1;77;24561550;22270728;163;78;0;1; 
1;78;26093189;6900976;79;164;1;0; 
1;79;6900607;625620;165;80;0;1; 
1;80;6900860;0;166;-1;1;1; 
