Ronda;Mesa;ID-B;ID-N;NoB;NoN;ResB;ResM;Incomparecencia
7;1;3800024;618438;2;1;0;0; 
7;2;662399;14114470;8;5;0;0; 
7;3;2800802;642274;11;9;0;0; 
7;4;634751;611190;34;13;0;0; 
7;5;2204100;14113171;23;3;0;0; 
7;6;3503054;2801639;6;27;0;0; 
7;7;22235256;616915;30;7;0;0; 
7;8;2205092;722855;10;36;0;0; 
7;9;2260735;2262436;14;31;0;0; 
7;10;3900410;2257459;16;33;0;0; 
7;11;608688;614890;24;19;0;0; 
7;12;2212676;2259532;45;21;0;0; 
7;13;3901211;3801110;4;35;0;0; 
7;14;2201500;2215268;12;37;0;0; 
7;15;639370;2260409;32;15;0;0; 
7;16;2224500;4103416;50;17;0;0; 
7;17;663727;600989;18;39;0;0; 
7;18;2200236;2616840;20;51;0;0; 
7;19;22245391;22247017;58;28;0;0; 
7;20;665274;22245707;22;57;0;0; 
7;21;602469;36000426;26;65;0;0; 
7;22;2138298;634581;68;38;0;0; 
7;23;2200678;2816776;40;69;0;0; 
7;24;2220270;2202107;71;41;0;0; 
7;25;601845;20661347;42;70;0;0; 
7;26;2246678;622079;44;73;0;0; 
7;27;2238276;4643747;46;75;0;0; 
7;28;22270728;2206331;78;47;0;0; 
7;29;2205580;2201577;48;76;0;0; 
7;30;26093189;2256088;79;49;0;0; 
7;31;2246848;1801171;52;90;0;0; 
7;32;620297;6900348;81;55;0;0; 
7;33;650242;32075359;82;59;0;0; 
7;34;617083;673609;84;62;0;0; 
7;35;3903346;619523;89;64;0;0; 
7;36;2279045;6900020;94;54;0;0; 
7;37;6900089;613681;60;97;0;0; 
7;38;2263980;13504606;63;99;0;0; 
7;39;628816;32065752;67;101;0;0; 
7;40;2211068;624357;98;72;0;0; 
7;41;635278;2219476;114;74;0;0; 
7;42;2273829;2269937;77;109;0;0; 
7;43;975362;625620;106;80;0;0; 
7;44;2214407;26042380;86;115;0;0; 
7;45;20619898;200450;118;87;0;0; 
7;46;6900364;614459;146;88;0;0; 
7;47;624624;32041721;53;123;0;0; 
7;48;616257;605778;108;56;0;0; 
7;49;2213133;2222116;61;110;0;0; 
7;50;2269279;633720;119;66;0;0; 
7;51;2256720;32065930;83;112;0;0; 
7;52;6900330;32041101;92;121;0;0; 
7;53;22286489;20682794;125;95;0;0; 
7;54;32041764;26061597;100;148;0;0; 
7;55;20643039;26042800;102;135;0;0; 
7;56;36064840;22245383;122;103;0;0; 
7;57;635863;636037;131;104;0;0; 
7;58;2258030;24561550;107;163;0;0; 
7;59;36051209;2221411;140;85;0;0; 
7;60;32010052;22244026;130;91;0;0; 
7;61;2274345;22225170;93;141;0;0; 
7;62;32018568;20608756;96;143;0;0; 
7;63;2290413;693022;132;105;0;0; 
7;64;20609159;32082681;145;111;0;0; 
7;65;2252236;664847;116;147;0;0; 
7;66;36020664;604380;120;149;0;0; 
7;67;603007;606057;126;151;0;0; 
7;68;2264358;6900780;128;154;0;0; 
7;69;32099223;6900526;153;129;0;0; 
7;70;6900011;650714;124;138;0;0; 
7;71;6900429;32092334;127;152;0;0; 
7;72;6900100;6900283;133;142;0;0; 
7;73;2219930;20668813;139;137;0;0; 
7;74;6900763;2299909;156;117;0;0; 
7;75;22234136;6901069;134;158;0;0; 
7;76;24562602;20668821;161;136;0;0; 
7;77;664413;6901018;150;159;0;0; 
7;78;24532495;6900607;155;165;0;0; 
7;79;6900798;6900860;157;166;0;0; 
7;80;6900976;24544060;164;162;0;0; 
9;1;0; 
4;80;606057;24519707;151;160;1;0; 
4;81;6900780;24562602;154;161;1;0; 
4;82;6900976;0;164;-1;1;1; 
