Ronda;Mesa;ID-B;ID-N;NoB;NoN;ResB;ResM;Incomparecencia
3;1;2200236;618438;20;1;0,5;0,5; 
3;2;3800024;2259532;2;21;1;0; 
3;3;608688;14113171;24;3;0;1; 
3;4;3901211;2801639;4;27;1;0; 
3;5;602469;14114470;26;5;0;1; 
3;6;639370;616915;32;7;0;1; 
3;7;662399;2262436;8;31;0,5;0,5; 
3;8;634751;642274;34;9;0;1; 
3;9;2205092;2257459;10;33;0,5;0,5; 
3;10;722855;2800802;36;11;0;1; 
3;11;2201500;3801110;12;35;1;0; 
3;12;2260735;2215268;14;37;1;0; 
3;13;2200678;2260409;40;15;0;1; 
3;14;3900410;600989;16;39;1;0; 
3;15;601845;4103416;42;17;0;1; 
3;16;663727;2202107;18;41;1;0; 
3;17;2220270;614890;71;19;0;1; 
3;18;3503054;619523;6;64;1;0; 
3;19;665274;2138298;22;68;1;0; 
3;20;634581;2204100;38;23;1;0; 
3;21;22247017;20661347;28;70;1;0; 
3;22;22235256;22270728;30;78;1;0; 
3;23;36000426;2206331;65;47;0,5;0,5; 
3;24;2214407;611190;86;13;0;1; 
3;25;22244026;0;91;29;0;1; 
3;26;2274345;0;93;43;1;0; 
3;27;2246678;2221411;44;85;1;0; 
3;28;2279045;2212676;94;45;0,5;0,5; 
3;29;2238276;200450;46;87;1;0; 
3;30;2205580;614459;48;88;0;1; 
3;31;32018568;2256088;96;49;0;1; 
3;32;2224500;6900330;50;92;1;0; 
3;33;32041764;2616840;100;51;0;1; 
3;34;2246848;13504606;52;99;1;0; 
3;35;20643039;624624;102;53;0,5;0,5; 
3;36;6900020;32065752;54;101;1;0; 
3;37;636037;6900348;104;55;0;1; 
3;38;605778;22245383;56;103;1;0; 
3;39;616257;22245707;108;57;0;1; 
3;40;22245391;2222116;58;110;0,5;0,5; 
3;41;32065930;32075359;112;59;1;0; 
3;42;2213133;32082681;61;111;0,5;0,5; 
3;43;635278;673609;114;62;0;1; 
3;44;2263980;0;63;113;1;0; 
3;45;2252236;633720;116;66;0;1; 
3;46;20619898;628816;118;67;1;0; 
3;47;2816776;26042380;69;115;1;0; 
3;48;36020664;624357;120;72;0;1; 
3;49;622079;2269279;73;119;0,5;0,5; 
3;50;36064840;2219476;122;74;0;1; 
3;51;4643747;36051209;75;140;1;0; 
3;52;664413;2201577;150;76;0;1; 
3;53;2273829;22225170;77;141;1;0; 
3;54;26093189;6900607;79;165;1;0; 
3;55;32099223;625620;153;80;0;1; 
3;56;620297;6900860;81;166;1;0; 
3;57;24561550;2256720;163;83;0,5;0,5; 
3;58;650242;6900429;82;127;1;0; 
3;59;617083;22286489;84;125;1;0; 
3;60;3903346;604380;89;149;1;0; 
3;61;650714;1801171;138;90;0;1; 
3;62;32092334;20682794;152;95;0;1; 
3;63;975362;6900100;106;133;1;0; 
3;64;22234136;2258030;134;107;0;1; 
3;65;6900089;2219930;60;139;1;0; 
3;66;6900283;613681;142;97;0;1; 
3;67;2211068;20608756;98;143;1;0; 
3;68;20609159;693022;145;105;0;1; 
3;69;6900364;2269937;146;109;1;0; 
3;70;2299909;664847;117;147;1;0; 
3;71;26061597;32041101;148;121;0,5;0,5; 
3;72;24532495;32041721;155;123;0;1; 
3;73;6900011;606057;124;151;1;0; 
3;74;603007;6900780;126;154;1;0; 
3;75;2264358;6900763;128;156;1;0; 
3;76;6900798;6900526;157;129;0;1; 
3;77;32010052;6901069;130;158;1;0; 
3;78;635863;24544060;131;162;1;0; 
3;79;6901018;26042800;159;135;0;1; 
3;80;20668821;6900976;136;164;1;0; 
3;81;24562602;20668813;161;137;0;1;
