Ronda;Mesa;ID-B;ID-N;NoB;NoN;ResB;ResM;Incomparecencia
2;1;618438;2246678;1;44;1;0; 
2;2;2219409;3800024;43;2;0;1; 
2;3;14113171;2238276;3;46;1;0; 
2;4;2212676;3901211;45;4;0;1; 
2;5;14114470;2205580;5;48;1;0; 
2;6;2206331;3503054;47;6;0,5;0,5; 
2;7;616915;2224500;7;50;1;0; 
2;8;2256088;662399;49;8;0;1; 
2;9;642274;2246848;9;52;1;0; 
2;10;2616840;2205092;51;10;0;1; 
2;11;2800802;6900020;11;54;1;0; 
2;12;624624;2201500;53;12;0;1; 
2;13;6900348;2260735;55;14;0;1; 
2;14;2260409;605778;15;56;1;0; 
2;15;22245707;3900410;57;16;0;1; 
2;16;4103416;22245391;17;58;1;0; 
2;17;32075359;663727;59;18;0;1; 
2;18;614890;2213133;19;61;1;0; 
2;19;673609;2200236;62;20;0;1; 
2;20;2259532;2263980;21;63;1;0; 
2;21;619523;665274;64;22;0,5;0,5; 
2;22;2204100;36000426;23;65;0,5;0,5; 
2;23;633720;608688;66;24;0;1; 
2;24;628816;602469;67;26;0;1; 
2;25;2801639;2816776;27;69;1;0; 
2;26;2138298;22247017;68;28;0,5;0,5; 
2;27;654213;2220270;29;71;0;1; 
2;28;20661347;22235256;70;30;0,5;0,5; 
2;29;2262436;622079;31;73;1;0; 
2;30;624357;639370;72;32;0;1; 
2;31;2257459;4643747;33;75;1;0; 
2;32;2219476;634751;74;34;0;1; 
2;33;3801110;2273829;35;77;1;0; 
2;34;2201577;722855;76;36;0;1; 
2;35;2215268;26093189;37;79;1;0; 
2;36;22270728;634581;78;38;0,5;0,5; 
2;37;600989;32018568;39;96;1;0; 
2;38;625620;2200678;80;40;0;1; 
2;39;2202107;616257;41;108;1;0; 
2;40;6900860;601845;166;42;0;1; 
2;41;611190;6900011;13;124;1;0; 
2;42;32041721;620297;123;81;0;1; 
2;43;22286489;650242;125;82;0,5;0,5; 
2;44;2256720;603007;83;126;1;0; 
2;45;6900429;617083;127;84;0,5;0,5; 
2;46;2221411;2264358;85;128;1;0; 
2;47;6900526;2214407;129;86;0;1; 
2;48;200450;32010052;87;130;1;0; 
2;49;614459;635863;88;131;1;0; 
2;50;6900100;3903346;133;89;0,5;0,5; 
2;51;1801171;22234136;90;134;0,5;0,5; 
2;52;26042800;22244026;135;91;0;1; 
2;53;6900330;20668821;92;136;1;0; 
2;54;20668813;2274345;137;93;0;1; 
2;55;2219930;2279045;139;94;0;1; 
2;56;20682794;650714;95;138;0,5;0,5; 
2;57;613681;36051209;97;140;0;1; 
2;58;22225170;2211068;141;98;1;0; 
2;59;13504606;6900283;99;142;1;0; 
2;60;20608756;32041764;143;100;0;1; 
2;61;32065752;6900364;101;146;1;0; 
2;62;20609159;20643039;145;102;0;1; 
2;63;22245383;26061597;103;148;1;0; 
2;64;664847;636037;147;104;0;1; 
2;65;693022;664413;105;150;0;1; 
2;66;604380;975362;149;106;0,5;0,5; 
2;67;2258030;32092334;107;152;0,5;0,5; 
2;68;2269937;32099223;109;153;0;1; 
2;69;606057;2222116;151;110;0;1; 
2;70;32082681;24532495;111;155;1;0; 
2;71;6900780;32065930;154;112;0;1; 
2;72;2267446;6900798;113;157;1;0; 
2;73;6900763;635278;156;114;0;1; 
2;74;26042380;6901018;115;159;1;0; 
2;75;6901069;2252236;158;116;0;1; 
2;76;24519707;20619898;160;118;0;1; 
2;77;2269279;24562602;119;161;1;0; 
2;78;24544060;36020664;162;120;0;1; 
2;79;32041101;24561550;121;163;0;1; 
2;80;6900976;36064840;164;122;0;1; 
2;81;6900607;0;165;-1;1;1; 
