Ronda;Mesa;ID-B;ID-N;NoB;NoN;ResB;ResM;Incomparecencia
8;1;616915;3800024;7;2;0,5;0,5; 
8;2;14114470;14113171;5;3;0,5;0,5; 
8;3;611190;3503054;13;6;1;0; 
8;4;2259532;662399;21;8;0,5;0,5; 
8;5;642274;2260735;9;14;1;0; 
8;6;2257459;2800802;33;11;0;1; 
8;7;614890;634751;19;34;1;0; 
8;8;618438;663727;1;18;1;0; 
8;9;722855;3901211;36;4;0;1; 
8;10;2260409;2205092;15;10;0,5;0,5; 
8;11;2224500;2201500;50;12;0;1; 
8;12;2200678;3900410;40;16;0;1; 
8;13;2246678;2200236;44;20;1;0; 
8;14;665274;2212676;22;45;1;0; 
8;15;2256088;2204100;49;23;0,5;0,5; 
8;16;32075359;608688;59;24;0;1; 
8;17;2616840;602469;51;26;0,5;0,5; 
8;18;2801639;2205580;27;48;0,5;0,5; 
8;19;6900348;22247017;55;28;0;1; 
8;20;619523;22235256;64;30;0;1; 
8;21;2262436;22245391;31;58;0,5;0,5; 
8;22;20661347;634581;70;38;0;1; 
8;23;4103416;2220270;17;71;1;0; 
8;24;628816;639370;67;32;0;1; 
8;25;3801110;22270728;35;78;1;0; 
8;26;2215268;617083;37;84;1;0; 
8;27;600989;2279045;39;94;1;0; 
8;28;625620;2238276;80;46;0,5;0,5; 
8;29;2206331;2211068;47;98;0,5;0,5; 
8;30;4643747;2246848;75;52;0;1; 
8;31;22245707;635278;57;114;1;0; 
8;32;1801171;6900089;90;60;0,5;0,5; 
8;33;673609;20619898;62;118;1;0; 
8;34;26042380;2263980;115;63;1;0; 
8;35;2202107;26093189;41;79;1;0; 
8;36;620297;601845;81;42;1;0; 
8;37;614459;624624;88;53;0,5;0,5; 
8;38;6900020;650242;54;82;0,5;0,5; 
8;39;6900330;2213133;92;61;0,5;0,5; 
8;40;36000426;3903346;65;89;1;0; 
8;41;633720;32041764;66;100;1;0; 
8;42;22245383;2138298;103;68;0;1; 
8;43;2269937;2816776;109;69;0;1; 
8;44;622079;20643039;73;102;0,5;0,5; 
8;45;2201577;635863;76;131;1;0; 
8;46;32065930;2273829;112;77;0,5;0,5; 
8;47;605778;6900364;56;146;1;0; 
8;48;624357;2258030;72;107;1;0; 
8;49;2221411;616257;85;108;0,5;0,5; 
8;50;606057;2214407;151;86;0;1; 
8;51;200450;36020664;87;120;0;1;F
8;52;32082681;2274345;111;93;0;1; 
8;53;20682794;2252236;95;116;1;0; 
8;54;6900526;32018568;129;96;0;1; 
8;55;613681;22286489;97;125;1;0; 
8;56;13504606;32010052;99;130;1;0; 
8;57;32065752;2290413;101;132;1;0; 
8;58;32041721;975362;123;106;0;1; 
8;59;2222116;24561550;110;163;0,5;0,5; 
8;60;26042800;2256720;135;83;0;1; 
8;61;32092334;636037;152;104;0;1; 
8;62;2269279;2264358;119;128;0;1; 
8;63;32041101;36051209;121;140;1;0; 
8;64;6900780;36064840;154;122;0;1; 
8;65;22244026;26061597;91;148;1;0; 
8;66;6900283;693022;142;105;0;1; 
8;67;2299909;20608756;117;143;1;0; 
8;68;604380;6900011;149;124;0,5;0,5; 
8;69;6900100;20609159;133;145;1;0; 
8;70;664847;22234136;147;134;0;1; 
8;71;20668821;664413;136;150;1;0; 
8;72;20668813;32099223;137;153;0,5;0,5; 
8;73;650714;24532495;138;155;1;0; 
8;74;2219930;6900798;139;157;1;0; 
8;75;22225170;6900976;141;164;1;0; 
8;76;24519707;6900429;160;127;0,5;0,5; 
8;77;6901069;24562602;158;161;0,5;0,5; 
8;78;6901018;6900607;159;165;0,5;0,5; 
8;79;24544060;0;162;-1;1;1; 
