Ronda;Mesa;ID-B;ID-N;NoB;NoN;ResB;ResM;Incomparecencia
6;1;618438;2800802;1;11;0,5;0,5; 
6;2;14113171;3800024;3;2;0;1; 
6;3;14114470;3901211;5;4;1;0; 
6;4;614890;3503054;19;6;0,5;0,5; 
6;5;616915;608688;7;24;0,5;0,5; 
6;6;4103416;662399;17;8;0;1; 
6;7;642274;639370;9;32;1;0; 
6;8;2259532;2205092;21;10;0,5;0,5; 
6;9;611190;663727;13;18;1;0; 
6;10;2260409;634751;15;34;0;1; 
6;11;2257459;2201500;33;12;0,5;0,5; 
6;12;634581;2260735;38;14;0;1; 
6;13;2202107;3900410;41;16;0;1; 
6;14;600989;2200236;39;20;0,5;0,5; 
6;15;2204100;601845;23;42;1;0; 
6;16;2212676;602469;45;26;1;0; 
6;17;2801639;2220270;27;71;1;0; 
6;18;2206331;22235256;47;30;0;1; 
6;19;2262436;36000426;31;65;1;0; 
6;20;722855;620297;36;81;1;0; 
6;21;32075359;665274;59;22;0,5;0,5; 
6;22;22247017;6900089;28;60;1;0; 
6;23;3801110;2263980;35;63;1;0; 
6;24;2215268;628816;37;67;1;0; 
6;25;673609;2200678;62;40;0,5;0,5; 
6;26;2816776;2246678;69;44;0,5;0,5; 
6;27;20661347;2238276;70;46;0,5;0,5; 
6;28;2256088;622079;49;73;0,5;0,5; 
6;29;624357;2224500;72;50;0;1; 
6;30;2616840;2273829;51;77;1;0; 
6;31;2201577;2246848;76;52;0,5;0,5; 
6;32;6900348;26093189;55;79;0,5;0,5; 
6;33;22245707;20619898;57;118;1;0; 
6;34;625620;22245391;80;58;0;1; 
6;35;2256720;2205580;83;48;0;1; 
6;36;624624;617083;53;84;0;1; 
6;37;605778;3903346;56;89;0;1; 
6;38;1801171;2213133;90;61;1;0; 
6;39;619523;20643039;64;102;1;0; 
6;40;633720;2279045;66;94;0;1; 
6;41;636037;2138298;104;68;0;1; 
6;42;2219476;975362;74;106;0,5;0,5; 
6;43;32065930;4643747;112;75;0;1; 
6;44;26061597;22270728;148;78;0;1; 
6;45;24561550;650242;163;82;0;1; 
6;46;2221411;635278;85;114;0;1; 
6;47;32082681;2214407;111;86;0;1; 
6;48;200450;2252236;87;116;1;0; 
6;49;614459;36020664;88;120;1;0; 
6;50;26042380;2274345;115;93;1;0; 
6;51;20682794;36064840;95;122;0,5;0,5; 
6;52;32041721;32018568;123;96;1;0; 
6;53;613681;603007;97;126;1;0; 
6;54;6900526;2211068;129;98;0;1; 
6;55;13504606;2264358;99;128;1;0; 
6;56;26042800;32041764;135;100;0,5;0,5; 
6;57;32065752;32010052;101;130;1;0; 
6;58;22245383;635863;103;131;0,5;0,5; 
6;59;693022;6900364;105;146;0;1; 
6;60;36051209;616257;140;108;0,5;0,5; 
6;61;2269937;2290413;109;132;1;0; 
6;62;6900780;6900330;154;92;0;1; 
6;63;2258030;6900429;107;127;1;0; 
6;64;2222116;6900100;110;133;1;0; 
6;65;650714;2269279;138;119;0;1; 
6;66;32041101;2219930;121;139;1;0; 
6;67;22286489;6900283;125;142;1;0; 
6;68;22225170;6900011;141;124;0,5;0,5; 
6;69;22244026;664413;91;150;1;0; 
6;70;606057;22234136;151;134;1;0; 
6;71;20668821;32099223;136;153;0;1; 
6;72;20668813;6900763;137;156;0,5;0,5; 
6;73;20608756;24562602;143;161;1;0; 
6;74;6900607;20609159;165;145;0;1; 
6;75;664847;6900798;147;157;1;0; 
6;76;604380;6900976;149;164;1;0; 
6;77;6900860;32092334;166;152;0;1; 
6;78;6901069;24532495;158;155;0,5;0,5; 
6;79;24544060;24519707;162;160;0;1; 
6;80;6901018;0;159;-1;1;1; 
